,AR-RAHKAB BEACH AND HOLIDAY RESORT ,RESTAURANT ,BADAGRY BEACH 103211,BADAGRY ,BADAGRY ,SW,NIGERIA,9QMG+RHF BADAGRY,8023522537,"9QMG+RHF, 103211, Badagry"
,MIKCHIK CHUMB ,RESTAURANT ,PACO IJANIKIN ,BADAGRY ,IJANIKIN ,SW,NIGERIA,G32X+3H Lagos,8037374770,"No1 Peter Idosa Street, Paco Iyana Era, Ijanikin, Badagry Express Way, Lagos"
,EMEKA SPOT ,WINE BAR ,ALABA RAGO OJO ,BADAGRY ,ALABA RAGO,SW,NIGERIA,F58V+9J Lagos,8088462378,"Alaba Rago Modern Market, Abuja Line, Alaba Rago, Ojo, Lagos - Badagry Expy, Lagos"
,FRESH POINT ,BAR AND GRILL ,103101 BADAGRY ,BADAGRY,BADAGRY ,SW,NIGERIA,G97C+65 Lagos,8037155449,"1 azikiwe, Badagry"
,THE SOLID WINE ,BAR ,ALABA RAGO OJO ,BADAGRY ,ALABA RAGO OJO ,SW,NIGERIA,F58V+8J Lagos,7069100189,"Alaba Rago Modern Market, Alaba Rago, Ojo, Lagos - Badagry Expy, Lagos"
,PAMARS BACKYARD BAR AND GRILL ,BAR AND GRILL ,102101 OJO LAGOS ,BADAGRY ,OJO ,SW,NIGERIA,F653+FP Lagos,9064629470,"45 Costain Rd, Ojo 102101, Lagos"
,STATUS RESTAURANT ,RESTAURANT ,112102 AGBARA ,BADAGRY ,AGBARA ,SW,NIGERIA,G36J+F54 AGBARA,9015180417,"G36J+F54, 112102, Agbara"
,CITYWALK BAR ,BAR ,103101 MAGBON ,BADAGRY ,MAGBON ,SW,NIGERIA,F3M2+82J MAGBON ,8105194056,"F3M2+82J, 103101, Magbon"
EPE,,,,,,,,,,
,OLUWARANT RESTAURANT AND BAR ,RESTAURANT ,106101 EPE ,EPE,EPE,SW,NIGERIA,HXJ5+FR Epe,9067089935,"40 Babatunde Bakare St, 106101, Epe"
,DESWISH BAR ,BAR ,106103 EPE,EPE,NOFORIJA,SW,NIGERIA,JXJQ+49 Epe,8102204978,"1 aladeshoyin road, Noforija 106103, Epe"
,KIKEOMO,BAR,106101 EPE ,EPE,EPE,SW,NIGERIA,HXPM+W4 Epe,9067843563,"Billy St, 106101, Epe"
,ONTARIO FOOD PLACE ,RESTAURANT ,234001 EPE ,EPE,LAGOS IKORODU EXPR WAY ,SW,NIGERIA,HWQX+3Q Epe,8021156682,"Km 10, T-Juncture, Lagos-Ikorodu Expressway, Epe, Lagos Epe, 234001, Epe"
,VAL TIMES RESTAURANT ,RESTAURANT ,105101  EPUTU ,EPE,EPUTU,SW,NIGERIA,FPFC+2X Eputu Town,8023324817,"KM 35 Lekki - EPE Expy, 105101, Eputu Town"
,CLASSIC RESTAURANT AND BAR ,BAR ,106104 LAGOS ,EPE,LKKI EPE EXPR WAY ,SW,NIGERIA,FJCP+9H Lekki,8038259998,"Lekki - Epe Expy, Eti-Osa 106104, Lagos"
,CEO KITCHEN ,RESTAURANT ,106101 LAGOS ,EPE,EPE,SW,NIGERIA,HXJF+32 Epe,7039395738,"28 Lagos Road, 106101, Epe"
,ALAMALA CENTRE ,RRESTAURANT ,AIYETORO ROAD ,EPE,AIYETORO,SW,NIGERIA,HXJG+4J Epe,8022469361,"Epe, 4 Aiyetoro Road, Epe"
